member,expression,file_name,augmentation,mean_intensity,std_intensity,min_intensity,max_intensity,hist_bin_00,hist_bin_01,hist_bin_02,hist_bin_03,hist_bin_04,hist_bin_05,hist_bin_06,hist_bin_07,hist_bin_08,hist_bin_09,hist_bin_10,hist_bin_11,hist_bin_12,hist_bin_13,hist_bin_14,hist_bin_15
chol,neutral,chol_neutral.jpg,original,192.11773681640625,52.04523430556316,5.0,254.0,0.00018310546875,0.0009765625,0.005615234375,0.01300048828125,0.01458740234375,0.02813720703125,0.0657958984375,0.07476806640625,0.0145263671875,0.017822265625,0.02789306640625,0.03887939453125,0.08709716796875,0.2554931640625,0.301025390625,0.05419921875
chol,neutral,chol_neutral.jpg,rotated,192.100830078125,52.180540463106624,15.0,253.0,0.0001220703125,0.001220703125,0.0064697265625,0.01123046875,0.01568603515625,0.0262451171875,0.0606689453125,0.08782958984375,0.015380859375,0.01678466796875,0.02362060546875,0.03680419921875,0.0814208984375,0.25445556640625,0.31121826171875,0.05084228515625
chol,neutral,chol_neutral.jpg,flipped,192.11773681640625,52.04523430556316,5.0,254.0,0.00018310546875,0.0009765625,0.005615234375,0.01300048828125,0.01458740234375,0.02813720703125,0.0657958984375,0.07476806640625,0.0145263671875,0.017822265625,0.02789306640625,0.03887939453125,0.08709716796875,0.2554931640625,0.301025390625,0.05419921875
chol,neutral,chol_neutral.jpg,grayscale,192.12396240234375,52.04165696432365,5.0,254.0,0.00018310546875,0.0009765625,0.005615234375,0.012939453125,0.01458740234375,0.02801513671875,0.06561279296875,0.0750732421875,0.0145263671875,0.01776123046875,0.02789306640625,0.03887939453125,0.0870361328125,0.2554931640625,0.3006591796875,0.05474853515625
chol,neutral,chol_neutral.jpg,brightened,219.3297119140625,49.8318466979417,35.0,255.0,0.0,0.0,0.0003662109375,0.00115966796875,0.0069580078125,0.01287841796875,0.01531982421875,0.03167724609375,0.0767822265625,0.05999755859375,0.01446533203125,0.0184326171875,0.029052734375,0.04296875,0.0975341796875,0.5924072265625
chol,smile,chol_smile.jpg,original,191.66143798828125,51.329987716225055,9.0,254.0,0.00042724609375,0.001220703125,0.0059814453125,0.011962890625,0.01910400390625,0.03790283203125,0.0645751953125,0.0408935546875,0.019775390625,0.02264404296875,0.0286865234375,0.0443115234375,0.10009765625,0.2899169921875,0.27362060546875,0.03887939453125
chol,smile,chol_smile.jpg,rotated,191.19775390625,51.60272772467496,7.0,253.0,0.0003662109375,0.000732421875,0.00604248046875,0.0126953125,0.01824951171875,0.03570556640625,0.06146240234375,0.0565185546875,0.02001953125,0.019775390625,0.0277099609375,0.04461669921875,0.09844970703125,0.2757568359375,0.28192138671875,0.03997802734375
chol,smile,chol_smile.jpg,flipped,191.66143798828125,51.329987716225055,9.0,254.0,0.00042724609375,0.001220703125,0.0059814453125,0.011962890625,0.01910400390625,0.03790283203125,0.0645751953125,0.0408935546875,0.019775390625,0.02264404296875,0.0286865234375,0.0443115234375,0.10009765625,0.2899169921875,0.27362060546875,0.03887939453125
chol,smile,chol_smile.jpg,grayscale,191.666259765625,51.327890213265356,9.0,254.0,0.00042724609375,0.001220703125,0.006103515625,0.011962890625,0.01873779296875,0.0380859375,0.0645751953125,0.040771484375,0.0198974609375,0.0225830078125,0.02874755859375,0.04449462890625,0.099853515625,0.28924560546875,0.27435302734375,0.0389404296875
chol,smile,chol_smile.jpg,brightened,219.42132568359375,49.54966423086034,39.0,255.0,0.0,0.0,0.00048828125,0.00152587890625,0.00701904296875,0.01263427734375,0.02044677734375,0.03985595703125,0.0645751953125,0.0374755859375,0.02032470703125,0.02362060546875,0.02984619140625,0.0478515625,0.11273193359375,0.58160400390625
